XGPigClimbMode                     entry@0x6ffaa4  [CODE:0x6ffa64 | 0x10 | CODE:0x4d8f10 | CODE:0x6fbde0 | CODE:0x6ffa4c | 0x10]
XGPigClimbMode_Drop                entry@0x6ffae4  [CODE:0x6ffa0c | 0x14 | CODE:0x4d9110 | CODE:0x6ffaa0 | CODE:0x6ff9f8 | 0x14]
XGPigClimbMode_Idle                entry@0x6ffb04  [CODE:0x6ff9e4 | 0x10 | CODE:0x4d9210 | CODE:0x6ffaa0 | CODE:0x6ff9d0 | 0x10]
XGPigClimbMode_IdleToMove          entry@0x6ffb34  [CODE:0x6ff9a0 | 0x10 | CODE:0x4d9390 | CODE:0x6ffaa0 | CODE:0x6ff984 | 0x10]
XGPigClimbMode_Inactive            entry@0x6ffab4  [CODE:0x6ffa4c | 0x10 | CODE:0x4d8f90 | CODE:0x6ffaa0 | CODE:0x6ffa38 | 0x10]
XGPigClimbMode_Into                entry@0x6ffac4  [CODE:0x6ffa38 | 0x10 | CODE:0x4d9010 | CODE:0x6ffaa0 | CODE:0x6ffa20 | 0x10]
XGPigClimbMode_Jump                entry@0x6ffaf4  [CODE:0x6ff9f8 | 0x14 | CODE:0x4d9190 | CODE:0x6ffaa0 | CODE:0x6ff9e4 | 0x10]
XGPigClimbMode_Move                entry@0x6ffb14  [CODE:0x6ff9d0 | 0x10 | CODE:0x4d9290 | CODE:0x6ffaa0 | CODE:0x6ff9bc | 0x10]
XGPigClimbMode_MoveToIdle          entry@0x6ffb44  [CODE:0x6ff984 | 0x10 | CODE:0x4d9410 | 0x41490fdb | 0x0 | CODE:0x8c3a18]
XGPigClimbMode_OutOf               entry@0x6ffad4  [CODE:0x6ffa20 | 0x10 | CODE:0x4d9090 | CODE:0x6ffaa0 | CODE:0x6ffa0c | 0x14]
XGPigClimbMode_Turn                entry@0x6ffb24  [CODE:0x6ff9bc | 0x10 | CODE:0x4d9310 | CODE:0x6ffaa0 | CODE:0x6ff9a0 | 0x10]
XGPigCombatHangMode_Aim            entry@0x7004f0  [CODE:0x70041c | 0x10 | CODE:0x4dfc40 | CODE:0x7000a4 | CODE:0x700400 | 0x10]
XGPigCombatHangMode_Charge         entry@0x700500  [CODE:0x700400 | 0x10 | CODE:0x4df690 | CODE:0x7000a4 | CODE:0x7003e4 | 0x10]
XGPigCombatHangMode_Draw           entry@0x7004d0  [CODE:0x700450 | 0x14 | CODE:0x4df580 | CODE:0x700094 | CODE:0x700434 | 0x10]
XGPigCombatHangMode_Fire           entry@0x700510  [CODE:0x7003e4 | 0x10 | CODE:0x4df710 | 0x0 | CODE:0x8c4194 | CODE:0x4df400]
XGPigCombatHangMode_Holster        entry@0x7004e0  [CODE:0x700434 | 0x10 | CODE:0x4df600 | CODE:0x7000b4 | CODE:0x70041c | 0x10]
XGPigCombatHangMode_Inactive       entry@0x7004c0  [CODE:0x70046c | 0x10 | CODE:0x4dfbc0 | CODE:0x700084 | CODE:0x700450 | 0x14]
XGPigCombatMode                    entry@0x700068  [CODE:0x700028 | 0x10 | CODE:0x4ddb60 | CODE:0x700064 | CODE:0x70000c | 0x10]
XGPigCombatMode_Active             entry@0x7000a8  [CODE:0x6fffc4 | 0x10 | CODE:0x4ddd60 | CODE:0x7000a4 | CODE:0x6fffb0 | 0x10]
XGPigCombatMode_Aim                entry@0x7000b8  [CODE:0x6fffb0 | 0x10 | CODE:0x4ddeb0 | CODE:0x7000a4 | CODE:0x6fff98 | 0x10]
XGPigCombatMode_Charge             entry@0x7000d8  [CODE:0x6fff80 | 0x10 | CODE:0x4ddfb0 | 0x0 | CODE:0x8c3e74 | CODE:0x4dd760]
XGPigCombatMode_Draw               entry@0x700088  [CODE:0x6ffff4 | 0x14 | CODE:0x4ddc60 | CODE:0x700064 | CODE:0x6fffdc | 0x10]
XGPigCombatMode_Fire               entry@0x7000c8  [CODE:0x6fff98 | 0x10 | CODE:0x4ddf30 | CODE:0x7000a4 | CODE:0x6fff80 | 0x10]
XGPigCombatMode_Holster            entry@0x700098  [CODE:0x6fffdc | 0x10 | CODE:0x4ddce0 | CODE:0x700064 | CODE:0x6fffc4 | 0x10]
XGPigCombatMode_Inactive           entry@0x700078  [CODE:0x70000c | 0x10 | CODE:0x4ddbe0 | CODE:0x700064 | CODE:0x6ffff4 | 0x14]
XGPigCombatRDVMode_Aim             entry@0x70086c  [CODE:0x7007a0 | 0x10 | CODE:0x4e02c0 | CODE:0x7000a4 | CODE:0x700784 | 0x10]
XGPigCombatRDVMode_Charge          entry@0x70087c  [CODE:0x700784 | 0x10 | CODE:0x4dff00 | CODE:0x7000a4 | CODE:0x70076c | 0x10]
XGPigCombatRDVMode_Draw            entry@0x70084c  [CODE:0x7007d4 | 0x14 | CODE:0x4dfdf0 | CODE:0x700094 | CODE:0x7007b8 | 0x10]
XGPigCombatRDVMode_Fire            entry@0x70088c  [CODE:0x70076c | 0x10 | CODE:0x4dff80 | CODE:0x8c4424 | CODE:0x4dfcc0 | CODE:0x4dfdb0]
XGPigCombatRDVMode_Holster         entry@0x70085c  [CODE:0x7007b8 | 0x10 | CODE:0x4dfe70 | CODE:0x7000b4 | CODE:0x7007a0 | 0x10]
XGPigCombatRDVMode_Inactive        entry@0x70083c  [CODE:0x7007ec | 0x10 | CODE:0x4e0240 | CODE:0x700084 | CODE:0x7007d4 | 0x14]
XGPigDashMode                      entry@0x700bd8  [CODE:0x700b9c | 0x10 | CODE:0x4e08c0 | CODE:0x700bd4 | CODE:0x700b84 | 0x10]
XGPigDashMode_Charging             entry@0x700bf8  [CODE:0x700b6c | 0x14 | CODE:0x4e09c0 | CODE:0x700bd4 | CODE:0x700b58 | 0x1c]
XGPigDashMode_Dash                 entry@0x700c08  [CODE:0x700b58 | 0x1c | CODE:0x4e0a40 | 0x0 | CODE:0x8c4710 | CODE:0x4e0600]
XGPigDashMode_Inactive             entry@0x700be8  [CODE:0x700b84 | 0x10 | CODE:0x4e0940 | CODE:0x700bd4 | CODE:0x700b6c | 0x14]
XGPigDeathMode                     entry@0x700e60  [CODE:0x700e20 | 0x10 | CODE:0x4e1900 | CODE:0x700e5c | CODE:0x700e08 | 0x10]
XGPigDeathMode_Active              entry@0x700e80  [CODE:0x700df0 | 0x10 | CODE:0x4e1a00 | CODE:0x700e7c | CODE:0x700ddc | 0x14]
XGPigDeathMode_Death               entry@0x700ea0  [CODE:0x700dc4 | 0x10 | CODE:0x4e1b00 | CODE:0x700e5c | CODE:0x700dac | 0x10]
XGPigDeathMode_Fall                entry@0x700e90  [CODE:0x700ddc | 0x14 | CODE:0x4e1a80 | CODE:0x700e7c | CODE:0x700dc4 | 0x10]
XGPigDeathMode_Inactive            entry@0x700e70  [CODE:0x700e08 | 0x10 | CODE:0x4e1980 | CODE:0x700e5c | CODE:0x700df0 | 0x10]
XGPigDeathMode_Respawn             entry@0x700eb0  [CODE:0x700dac | 0x10 | CODE:0x4e1b80 | 0x0 | CODE:0x8c4904 | CODE:0x4e1410]
XGPigDodgeMode_Active              entry@0x7011b0  [CODE:0x701140 | 0x10 | CODE:0x4e20c0 | CODE:0x7011ac | CODE:0x701128 | 0x10]
XGPigDodgeMode_Attack              entry@0x7011e0  [CODE:0x7010fc | 0x10 | CODE:0x4e2240 | 0x0 | CODE:0x8c4b6c | CODE:0x4e1d70]
XGPigDodgeMode_Dodge               entry@0x7011c0  [CODE:0x701128 | 0x10 | CODE:0x4e2140 | CODE:0x7011ac | CODE:0x701114 | 0x10]
XGPigDodgeMode_Inactive            entry@0x7011a0  [CODE:0x701158 | 0x14 | CODE:0x4e2040 | CODE:0x6fbde0 | CODE:0x701140 | 0x10]
XGPigDodgeMode_Roll                entry@0x7011d0  [CODE:0x701114 | 0x10 | CODE:0x4e21c0 | CODE:0x7011ac | CODE:0x7010fc | 0x10]
XGPigFallMode_Fall                 entry@0x701468  [CODE:0x701400 | 0x10 | CODE:0x4e2da0 | CODE:0x6fd02c | CODE:0x7013ec | 0x14]
XGPigFallMode_HeavyLand            entry@0x701488  [CODE:0x7013d4 | 0x14 | CODE:0x4e2ea0 | 0x0 | CODE:0x8c4d70 | CODE:0x4e2ab0]
XGPigFallMode_Inactive             entry@0x701458  [CODE:0x701414 | 0x10 | CODE:0x4e3370 | CODE:0x6fd01c | CODE:0x701400 | 0x10]
XGPigFallMode_Land                 entry@0x701478  [CODE:0x7013ec | 0x14 | CODE:0x4e2e20 | CODE:0x701474 | CODE:0x7013d4 | 0x14]
XGPigFloatMode                     entry@0x7017a4  [CODE:0x701764 | 0x10 | CODE:0x4e3ab0 | CODE:0x7017a0 | CODE:0x70174c | 0x10]
XGPigFloatMode_Float               entry@0x7017c4  [CODE:0x701734 | 0x10 | CODE:0x4e3bb0 | CODE:0x8c508c | CODE:0x4e3800 | CODE:0x4e8060]
XGPigFloatMode_Inactive            entry@0x7017b4  [CODE:0x70174c | 0x10 | CODE:0x4e3b30 | CODE:0x7017a0 | CODE:0x701734 | 0x10]
XGPigGlueMode                      entry@0x701a0c  [CODE:0x7019d0 | 0x10 | CODE:0x4e4810 | CODE:0x701a08 | CODE:0x7019b8 | 0x10]
XGPigGlueMode_ExtIdle              entry@0x701a3c  [CODE:0x70198c | 0x14 | CODE:0x4e4990 | CODE:0x701a08 | CODE:0x701978 | 0x10]
XGPigGlueMode_Idle                 entry@0x701a2c  [CODE:0x7019a4 | 0x14 | CODE:0x4e4910 | CODE:0x701a28 | CODE:0x70198c | 0x14]
XGPigGlueMode_Inactive             entry@0x701a1c  [CODE:0x7019b8 | 0x10 | CODE:0x4e4890 | CODE:0x701a08 | CODE:0x7019a4 | 0x14]
XGPigGlueMode_Jump                 entry@0x701a4c  [CODE:0x701978 | 0x10 | CODE:0x4e4a10 | CODE:0x701a08 | CODE:0x701964 | 0x14]
